algorytm;instancja;rozwiazanie bazowe;typ ruchu wewnatrztrasowego;sredni czas;max czas;min czas
greedy_walk;A;regretGC;swap_edges;934.78;2088;281
greedy_walk;B;regretGC;swap_edges;1126.28;2982;213
greedy_walk;A;random;swap_edges;44864.3;79885;775
greedy_walk;B;random;swap_edges;48665.2;102937;3158
greedy_walk;A;regretGC;swap_vertices;784.6;1734;269
greedy_walk;B;regretGC;swap_vertices;742.83;1778;225
greedy_walk;A;random;swap_vertices;51976.3;95165;694
greedy_walk;B;random;swap_vertices;54084.6;95331;3768
steep_walk;A;regretGC;swap_edges;795.53;1817;216
steep_walk;B;regretGC;swap_edges;928.24;2663;112
steep_walk;A;random;swap_edges;14681.5;31176;31
steep_walk;B;random;swap_edges;17097.1;29031;171
steep_walk;A;regretGC;swap_vertices;661.21;1542;159
steep_walk;B;regretGC;swap_vertices;673.36;2164;134
steep_walk;A;random;swap_vertices;24773.2;56128;27
steep_walk;B;random;swap_vertices;27941.4;54444;125
random_walk;A;regretGC;swap_edges;52006.6;52081;51982
random_walk;B;regretGC;swap_edges;54115.2;54214;54089
random_walk;A;random;swap_edges;52003.8;52087;51979
random_walk;B;random;swap_edges;54110.8;54181;54087
random_walk;A;regretGC;swap_vertices;52004.6;52086;51981
random_walk;B;regretGC;swap_vertices;54116.7;54234;54089
random_walk;A;random;swap_vertices;52003.6;52069;51980
random_walk;B;random;swap_vertices;54113.4;54180;54088



algorytm;instancja;rozwiazanie bazowe;typ ruchu wewnatrztrasowego;sredni wynik;max wynik;min wynik
greedy_walk;A;regretGC;swap_edges;6333.73;7299;4996
greedy_walk;B;regretGC;swap_edges;18403.2;19548;17224
greedy_walk;A;random;swap_edges;5535.24;6990;1099
greedy_walk;B;random;swap_edges;17031.6;18788;7891
greedy_walk;A;regretGC;swap_vertices;6300.45;7214;4996
greedy_walk;B;regretGC;swap_vertices;18206.2;19548;17177
greedy_walk;A;random;swap_vertices;-11698.7;3262;-23663
greedy_walk;B;random;swap_vertices;-1628.22;14323;-14469
steep_walk;A;regretGC;swap_edges;6339;7488;4996
steep_walk;B;regretGC;swap_edges;18454.2;19548;17247
steep_walk;A;random;swap_edges;5503.06;7561;272
steep_walk;B;random;swap_edges;16397.1;19319;2625
steep_walk;A;regretGC;swap_vertices;6303.49;7214;4996
steep_walk;B;regretGC;swap_vertices;18217;19548;17177
steep_walk;A;random;swap_vertices;-7116.61;5146;-26238
steep_walk;B;random;swap_vertices;1941.53;16400;-18714
random_walk;A;regretGC;swap_edges;6191.96;6985;4810
random_walk;B;regretGC;swap_edges;18055.9;19486;17086
random_walk;A;random;swap_edges;-146284;-3449;-274757
random_walk;B;random;swap_edges;-141582;-3072;-259717
random_walk;A;regretGC;swap_vertices;6192.07;6985;4810
random_walk;B;regretGC;swap_vertices;18055.9;19486;17086
random_walk;A;random;swap_vertices;-146174;-3740;-275639
random_walk;B;random;swap_vertices;-139680;-3072;-255419



algorytm;instancja;sredni wynik;max wynik;min wynik
regretGC;A;6191.96;6985;4810
regretGC;B;18055.9;19486;17086
random;A;-2394.29;380;-11040
random;B;-3398.81;864;-12010
