algorytm;instancja;rozwiazanie bazowe;typ ruchu wewnatrztrasowego;sredni czas;max czas;min czas
greedy_walk;A;regretGC;swap_edges;1411.88;5587;352
greedy_walk;B;regretGC;swap_edges;1630.6;4474;366
greedy_walk;A;random;swap_edges;78367.1;148894;1461
greedy_walk;B;random;swap_edges;82777.6;172134;5220
greedy_walk;A;regretGC;swap_vertices;1159.97;2654;356
greedy_walk;B;regretGC;swap_vertices;1103.52;3043;309
greedy_walk;A;random;swap_vertices;87497.6;160223;958
greedy_walk;B;random;swap_vertices;92262.3;170937;6240
steep_walk;A;regretGC;swap_edges;1238.28;3610;252
steep_walk;B;regretGC;swap_edges;1452.31;3760;290
steep_walk;A;random;swap_edges;24715.1;49559;66
steep_walk;B;random;swap_edges;28572.5;52821;391
steep_walk;A;regretGC;swap_vertices;1053.96;3935;230
steep_walk;B;regretGC;swap_vertices;1052.26;3403;213
steep_walk;A;random;swap_vertices;39078.4;81650;65
steep_walk;B;random;swap_vertices;43880.7;87277;213
random_walk;A;regretGC;swap_edges;87556;88362;87506
random_walk;B;regretGC;swap_edges;92309.8;92472;92268
random_walk;A;random;swap_edges;87555.2;87702;87503
random_walk;B;random;swap_edges;92318.9;92484;92266
random_walk;A;regretGC;swap_vertices;87559.3;88358;87503
random_walk;B;regretGC;swap_vertices;92314.3;92546;92268
random_walk;A;random;swap_vertices;87567.4;89387;87504
random_walk;B;random;swap_vertices;92322;92670;92268



algorytm;instancja;rozwiazanie bazowe;typ ruchu wewnatrztrasowego;sredni wynik;max wynik;min wynik
greedy_walk;A;regretGC;swap_edges;6333.91;7265;4996
greedy_walk;B;regretGC;swap_edges;18391;19548;17201
greedy_walk;A;random;swap_edges;5593.51;7230;1255
greedy_walk;B;random;swap_edges;16995.5;18818;8121
greedy_walk;A;regretGC;swap_vertices;6300.45;7214;4996
greedy_walk;B;regretGC;swap_vertices;18206.2;19548;17177
greedy_walk;A;random;swap_vertices;-11698.7;3262;-23663
greedy_walk;B;random;swap_vertices;-1628.22;14323;-14469
steep_walk;A;regretGC;swap_edges;6339;7488;4996
steep_walk;B;regretGC;swap_edges;18454.2;19548;17247
steep_walk;A;random;swap_edges;5503.06;7561;272
steep_walk;B;random;swap_edges;16397.1;19319;2625
steep_walk;A;regretGC;swap_vertices;6303.49;7214;4996
steep_walk;B;regretGC;swap_vertices;18217;19548;17177
steep_walk;A;random;swap_vertices;-7116.61;5146;-26238
steep_walk;B;random;swap_vertices;1941.53;16400;-18714
random_walk;A;regretGC;swap_edges;6191.96;6985;4810
random_walk;B;regretGC;swap_edges;18055.9;19486;17086
random_walk;A;random;swap_edges;-146872;-3651;-276260
random_walk;B;random;swap_edges;-141258;-3072;-256560
random_walk;A;regretGC;swap_vertices;6191.96;6985;4810
random_walk;B;regretGC;swap_vertices;18055.9;19486;17086
random_walk;A;random;swap_vertices;-145950;-3740;-271812
random_walk;B;random;swap_vertices;-140656;-3072;-257827



algorytm;instancja;sredni wynik;max wynik;min wynik
regretGC;A;6191.96;6985;4810
regretGC;B;18055.9;19486;17086
random;A;-2394.29;380;-11040
random;B;-3398.81;864;-12010
